"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\tbhco\github-classroom\RHC-CIT-128-SP23\project-tbhcorn\main.py", "Python", 11, 0, 8, 19
"Total", "-", 11, 0, 8, 19
