"filename", "language", "Markdown", "Python", "comment", "blank", "total"
"c:\Users\tbhco\github-classroom\RHC-CIT-128-SP23\project-tbhcorn\DIRECTIONS.md", "Markdown", 60, 0, 0, 14, 74
"c:\Users\tbhco\github-classroom\RHC-CIT-128-SP23\project-tbhcorn\README.md", "Markdown", 23, 0, 0, 21, 44
"c:\Users\tbhco\github-classroom\RHC-CIT-128-SP23\project-tbhcorn\main.py", "Python", 0, 234, 38, 16, 288
"Total", "-", 83, 234, 38, 51, 406
