"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\tbhco\github-classroom\RHC-CIT-128-SP23\project-tbhcorn\main.py", "Python", 2, 0, 0, 2
"Total", "-", 2, 0, 0, 2
