"filename", "language", "Python", "Markdown", "comment", "blank", "total"
"c:\Users\tbhco\github-classroom\RHC-CIT-128-SP23\project-tbhcorn\DIRECTIONS.md", "Markdown", 0, 60, 0, 14, 74
"c:\Users\tbhco\github-classroom\RHC-CIT-128-SP23\project-tbhcorn\README.md", "Markdown", 0, 25, 0, 22, 47
"c:\Users\tbhco\github-classroom\RHC-CIT-128-SP23\project-tbhcorn\main.py", "Python", 365, 0, 47, 57, 469
"Total", "-", 365, 85, 47, 93, 590
