"filename", "language", "Python", "Markdown", "comment", "blank", "total"
"c:\Users\tbhco\github-classroom\RHC-CIT-128-SP23\project-tbhcorn\DIRECTIONS.md", "Markdown", 0, 60, 0, 14, 74
"c:\Users\tbhco\github-classroom\RHC-CIT-128-SP23\project-tbhcorn\README.md", "Markdown", 0, 24, 0, 21, 45
"c:\Users\tbhco\github-classroom\RHC-CIT-128-SP23\project-tbhcorn\main.py", "Python", 331, 0, 44, 55, 430
"Total", "-", 331, 84, 44, 90, 549
