"filename", "language", "Python", "Markdown", "comment", "blank", "total"
"c:\Users\tbhco\github-classroom\RHC-CIT-128-SP23\project-tbhcorn\DIRECTIONS.md", "Markdown", 0, -1, 0, 0, -1
"c:\Users\tbhco\github-classroom\RHC-CIT-128-SP23\project-tbhcorn\main.py", "Python", 33, 0, 4, 6, 43
"Total", "-", 33, -1, 4, 6, 42
