"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\tbhco\github-classroom\RHC-CIT-128-SP23\project-tbhcorn\main.py", "Python", 17, -2, 4, 19
"Total", "-", 17, -2, 4, 19
