"filename", "language", "Markdown", "Python", "comment", "blank", "total"
"c:\Users\tbhco\github-classroom\RHC-CIT-128-SP23\project-tbhcorn\DIRECTIONS.md", "Markdown", 60, 0, 0, 14, 74
"c:\Users\tbhco\github-classroom\RHC-CIT-128-SP23\project-tbhcorn\README.md", "Markdown", 24, 0, 0, 21, 45
"c:\Users\tbhco\github-classroom\RHC-CIT-128-SP23\project-tbhcorn\main.py", "Python", 0, 327, 46, 56, 429
"Total", "-", 84, 327, 46, 91, 548
