"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\tbhco\github-classroom\RHC-CIT-128-SP23\project-tbhcorn\main.py", "Python", 25, 2, 3, 30
"Total", "-", 25, 2, 3, 30
