"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\tbhco\github-classroom\RHC-CIT-128-SP23\project-tbhcorn\main.py", "Python", 9, 2, 6, 17
"Total", "-", 9, 2, 6, 17
